"Id,N,6,0","Notes,C,30","POINT_X,N,19,11","POINT_Y,N,19,11","X,N,19,6","Y,N,19,6","Latitude,C,25","Longitude,C,25"
0,,2235501.42672,488671.939002,-81.532586,41.003918,"-81? 31' 57.308""","41? 0' 14.104"""
0,,2235550.78911,488415.25456,-81.532417,41.003212,"-81? 31' 56.702""","41? 0' 11.562"""
0,,2235675.84051,488313.238948,-81.531968,41.002928,"-81? 31' 55.085""","41? 0' 10.541"""
0,,2235698.87629,488204.641684,-81.531889,41.002629,"-81? 31' 54.801""","41? 0' 9.465"""
0,,2235784.43777,488036.809548,-81.531586,41.002166,"-81? 31' 53.709""","41? 0' 7.797"""
0,,2235896.32586,487839.359977,-81.531188,41.001621,"-81? 31' 52.278""","41? 0' 5.834"""
0,,2235754.82034,487497.114054,-81.531715,41.000686,"-81? 31' 54.173""","41? 0' 2.468"""
0,,2235712.0396,487187.776392,-81.531882,40.999838,"-81? 31' 54.776""","40? 59' 59.416"""
0,,2235313.84963,486769.841467,-81.533342,40.998703,"-81? 32' 0.030""","40? 59' 55.330"""
0,,2235271.06889,486292.67167,-81.533516,40.997395,"-81? 32' 0.657""","40? 59' 50.620"""
0,,2235106.52758,485960.298225,-81.534125,40.996487,"-81? 32' 2.850""","40? 59' 47.354"""
0,,2235057.16518,485976.752356,-81.534303,40.996534,"-81? 32' 3.492""","40? 59' 47.522"""
0,,2234158.76964,486138.002839,-81.537551,40.997004,"-81? 32' 15.185""","40? 59' 49.214"""
0,,2234352.92838,485986.624834,-81.536854,40.996582,"-81? 32' 12.674""","40? 59' 47.697"""
0,,2234336.47425,485874.736744,-81.536918,40.996276,"-81? 32' 12.905""","40? 59' 46.593"""
0,,2234553.66878,485831.956004,-81.536133,40.996152,"-81? 32' 10.079""","40? 59' 46.147"""
0,,2234556.9596,485706.904609,-81.536126,40.995809,"-81? 32' 10.054""","40? 59' 44.911"""
